t,u_measured
2.780000000000000249e+00,7.393036469988987225e-01
2.785000000000000142e+00,6.338822389749338981e-01
2.790000000000000036e+00,6.373141308904838320e-01
2.794999999999999929e+00,6.171809337144706920e-01
2.800000000000000266e+00,6.114932039214768800e-01
2.805000000000000160e+00,6.780509101874984124e-01
2.810000000000000053e+00,6.310162099739217156e-01
2.814999999999999947e+00,6.595690253792330093e-01
2.819999999999999840e+00,6.643935110979974912e-01
2.825000000000000178e+00,7.932360515616955210e-01
2.830000000000000071e+00,9.742410661614815393e-01
2.834999999999999964e+00,1.072656314429887292e+00
2.839999999999999858e+00,1.113005100254625290e+00
2.845000000000000195e+00,1.076330770652780711e+00
2.850000000000000089e+00,1.079725051249246892e+00
2.854999999999999982e+00,9.024407092035238165e-01
2.859999999999999876e+00,8.829025517182186311e-01
2.865000000000000213e+00,9.009374737015451995e-01
2.870000000000000107e+00,9.440148241408186092e-01
2.875000000000000000e+00,9.218669591772006289e-01
2.879999999999999893e+00,9.235540463789553289e-01
2.885000000000000231e+00,8.678984263969293789e-01
2.890000000000000124e+00,7.710421697414924225e-01
2.895000000000000018e+00,7.153569929605729794e-01
2.899999999999999911e+00,7.317139175801186113e-01
